Churn,Contract,Customer ID,Dependents,Device Protection,Dimension,Gender,Info 1,Info 2,Info 3,Internet Service,Message,Monthly Charges (bin),Monthly Charges (bin) 2,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Tech Support,Tenure,Total Charges (bin),# Customers,Churn Rate count yes,"Churn Rate, %",Monthly Charges,Monthly Charges ,Total Charges,Total per Tenure
No,Month-to-month,9763-GRSKD,Yes,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,48,47.6,No,No,Yes,Yes,Yes,Mailed check,Yes,0,No,No,No,13,587,1,0,0.00%,49.95,49.95,587.45,45.18846154
No,Two year,7469-LKBCI,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,16.8,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,16,326,1,0,0.00%,18.95,18.95,326.8,20.425
No,One year,8091-TTVAX,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,98,Yes,No,No,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,58,5681,1,0,0.00%,100.35,100.35,5681.1,97.95
Yes,Month-to-month,0280-XJGEX,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,103.6,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,49,5036,1,1,100.00%,103.7,103.7,5036.3,102.7816327
No,Month-to-month,5129-JLPIS,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,No,No,Yes,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,25,2686,1,0,0.00%,105.5,105.5,2686.05,107.442
No,Two year,3655-SNQYZ,Yes,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,112,112,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,69,7895,1,0,0.00%,113.25,113.25,7895.15,114.4224638
No,One year,8191-XWSZG,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,52,1022,1,0,0.00%,20.65,20.65,1022.95,19.67211539
No,Two year,9959-WOFKT,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,106.4,Yes,No,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,71,7382,1,0,0.00%,106.7,106.7,7382.25,103.9753521
Yes,Month-to-month,4190-MFLUW,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,No,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,10,528,1,1,100.00%,55.2,55.2,528.35,52.835
No,Month-to-month,4183-MYFRB,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,No,21,1862,1,0,0.00%,90.05,90.05,1862.9,88.70952381
Yes,Month-to-month,8779-QRDMV,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,36,39.2,No phone service,No,No,Yes,No,Electronic check,No,1,Yes,No,No,1,39,1,1,100.00%,39.65,39.65,39.65,39.65
No,One year,1680-VDCWW,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,12,202,1,0,0.00%,19.8,19.8,202.25,16.85416667
Yes,Month-to-month,1066-JKSGK,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,20,1,1,100.00%,20.15,20.15,20.15,20.15
No,Two year,3638-WEABW,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,56,58.8,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,58,3505,1,0,0.00%,59.9,59.9,3505.1,60.43275862
No,Month-to-month,6322-HRPFA,Yes,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,56,58.8,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,No,No,Yes,49,2970,1,0,0.00%,59.6,59.6,2970.3,60.61836735
No,Month-to-month,6865-JZNKO,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,30,1530,1,0,0.00%,55.3,55.3,1530.6,51.02
Yes,Month-to-month,6467-CHFZW,Yes,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,47,4749,1,1,100.00%,99.35,99.35,4749.15,101.0457447
Yes,Month-to-month,8665-UTDHZ,Yes,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,28,28,No phone service,Yes,No,No,Yes,Electronic check,No,0,No,No,No,1,30,1,1,100.00%,30.2,30.2,30.2,30.2
No,Two year,5248-YGIJN,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,6369,1,0,0.00%,90.25,90.25,6369.45,88.46458333
Yes,Month-to-month,8773-HHUOZ,Yes,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,No,No,No,Yes,No,Mailed check,Yes,0,Yes,Yes,No,17,1093,1,1,100.00%,64.7,64.7,1093.1,64.3
No,Two year,3841-NFECX,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,95.2,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,No,No,Yes,71,6766,1,0,0.00%,96.35,96.35,6766.95,95.30915493
No,Month-to-month,4929-XIHVW,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,95.2,No,No,No,Yes,Yes,Credit card (automatic),Yes,1,Yes,Yes,No,2,181,1,0,0.00%,95.5,95.5,181.65,90.825
No,One year,6827-IEAUQ,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,No,Yes,Yes,No,Yes,Mailed check,Yes,0,No,No,Yes,27,1874,1,0,0.00%,66.15,66.15,1874.45,69.42407407
No,Month-to-month,7310-EGVHZ,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,1,20,1,0,0.00%,20.2,20.2,20.2,20.2
No,Month-to-month,3413-BMNZE,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,44,44.8,No,No,No,No,No,Bank transfer (automatic),Yes,1,No,No,No,1,45,1,0,0.00%,45.25,45.25,45.25,45.25
No,Two year,6234-RAAPL,Yes,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,Yes,72,7251,1,0,0.00%,99.9,99.9,7251.7,100.7180556
Yes,Month-to-month,6047-YHPVI,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,68,67.2,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,5,316,1,1,100.00%,69.7,69.7,316.9,63.38
No,Month-to-month,6572-ADKRS,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,72.8,No,No,No,Yes,No,Credit card (automatic),Yes,0,No,No,No,46,3548,1,0,0.00%,74.8,74.8,3548.3,77.13695652
Yes,Month-to-month,5380-WJKOV,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,34,3549,1,1,100.00%,106.35,106.35,3549.25,104.3897059
Yes,Month-to-month,8168-UQWWF,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,95.2,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,11,1105,1,1,100.00%,97.85,97.85,1105.4,100.4909091
No,One year,8865-TNMNX,Yes,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,48,47.6,No,Yes,No,No,Yes,Mailed check,Yes,0,No,No,No,10,475,1,0,0.00%,49.55,49.55,475.7,47.57
No,Two year,9489-DEDVP,Yes,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,68,67.2,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,No,70,4872,1,0,0.00%,69.2,69.2,4872.35,69.605
No,One year,9867-JCZSP,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,17,418,1,0,0.00%,20.75,20.75,418.25,24.60294118
No,Two year,4671-VJLCL,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,76,78.4,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,No,Yes,Yes,63,4861,1,0,0.00%,79.85,79.85,4861.45,77.16587302
No,Month-to-month,4080-IIARD,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,76,75.6,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,Yes,Yes,13,981,1,0,0.00%,76.2,76.2,981.45,75.49615385
No,Month-to-month,3714-NTNFO,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,84,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,No,No,49,3906,1,0,0.00%,84.5,84.5,3906.7,79.72857143
No,Month-to-month,5948-UJZLF,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,48,47.6,No,Yes,No,No,No,Mailed check,Yes,0,No,No,No,2,97,1,0,0.00%,49.25,49.25,97,48.5
Yes,Month-to-month,7760-OYPDY,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,80,78.4,No,No,No,Yes,No,Electronic check,Yes,0,No,Yes,No,2,144,1,1,100.00%,80.65,80.65,144.15,72.075
No,Two year,7639-LIAYI,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,76,78.4,Yes,No,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,52,4217,1,0,0.00%,79.75,79.75,4217.8,81.11153846
No,Two year,2954-PIBKO,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,61.6,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,69,4254,1,0,0.00%,64.15,64.15,4254.1,61.65362319
No,Month-to-month,8012-SOUDQ,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,Yes,No,Yes,No,Electronic check,Yes,1,No,Yes,No,43,3838,1,0,0.00%,90.25,90.25,3838.75,89.27325581
Yes,Month-to-month,9420-LOJKX,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,15,1426,1,1,100.00%,99.1,99.1,1426.4,95.09333333
No,Month-to-month,6575-SUVOI,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,68,67.2,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,1,No,Yes,Yes,25,1752,1,0,0.00%,69.5,69.5,1752.65,70.106
Yes,Month-to-month,7495-OOKFY,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,80,78.4,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,1,No,No,No,8,633,1,1,100.00%,80.65,80.65,633.3,79.1625
No,One year,4667-QONEA,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,72,72.8,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,Yes,No,Yes,60,4456,1,0,0.00%,74.85,74.85,4456.35,74.2725
Yes,Month-to-month,1658-BYGOY,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,95.2,Yes,No,No,Yes,No,Electronic check,Yes,1,Yes,Yes,No,18,1752,1,1,100.00%,95.45,95.45,1752.55,97.36388889
No,One year,8769-KKTPH,Yes,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,63,6311,1,0,0.00%,99.65,99.65,6311.2,100.1777778
No,One year,5067-XJQFU,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,108,106.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,Yes,66,7076,1,0,0.00%,108.45,108.45,7076.35,107.2174242
No,Two year,3957-SQXML,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,34,894,1,0,0.00%,24.95,24.95,894.3,26.30294118
No,Two year,5954-BDFSG,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,106.4,Yes,No,No,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,7853,1,0,0.00%,107.5,107.5,7853.7,109.0791667
No,Month-to-month,0434-CSFON,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,98,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,47,4707,1,0,0.00%,100.5,100.5,4707.1,100.1510638
No,Month-to-month,1215-FIGMP,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,No,Yes,No,60,5450,1,0,0.00%,89.9,89.9,5450.7,90.845
No,Two year,0526-SXDJP,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,40,42,No phone service,Yes,Yes,No,Yes,Bank transfer (automatic),No,0,No,No,No,72,2962,1,0,0.00%,42.1,42.1,2962,41.13888889
No,One year,0557-ASKVU,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,18,957,1,0,0.00%,54.4,54.4,957.1,53.17222222
Yes,Month-to-month,5698-BQJOH,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,No,No,No,No,Electronic check,Yes,0,Yes,Yes,No,9,857,1,1,100.00%,94.4,94.4,857.25,95.25
No,Month-to-month,5122-CYFXA,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,72,72.8,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,3,244,1,0,0.00%,75.3,75.3,244.1,81.36666667
No,One year,8627-ZYGSZ,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,76,78.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,No,No,No,47,3650,1,0,0.00%,78.9,78.9,3650.35,77.66702128
No,Two year,3410-YOQBQ,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,76,78.4,No,Yes,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,31,2497,1,0,0.00%,79.2,79.2,2497.2,80.55483871
No,Two year,3170-NMYVV,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,50,930,1,0,0.00%,20.15,20.15,930.9,18.618
No,Month-to-month,7410-OIEDU,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,76,78.4,No,No,Yes,Yes,No,Mailed check,Yes,0,No,No,No,10,887,1,0,0.00%,79.85,79.85,887.35,88.735
No,Month-to-month,2273-QCKXA,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,48,47.6,No,No,No,No,No,Mailed check,Yes,0,No,No,Yes,1,49,1,0,0.00%,49.05,49.05,49.05,49.05
No,One year,0731-EBJQB,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,52,1090,1,0,0.00%,20.4,20.4,1090.65,20.97403846
No,Two year,1891-QRQSA,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,108,109.2,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,64,7099,1,0,0.00%,111.6,111.6,7099,110.921875
No,Two year,8028-PNXHQ,Yes,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,62,1424,1,0,0.00%,24.25,24.25,1424.6,22.97741936
No,Month-to-month,5630-AHZIL,Yes,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,3,177,1,0,0.00%,64.5,64.5,177.4,59.13333333
No,One year,2673-CXQEU,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,108,109.2,Yes,Yes,Yes,No,No,Electronic check,Yes,1,Yes,Yes,No,56,6139,1,0,0.00%,110.5,110.5,6139.5,109.6339286
No,One year,6416-JNVRK,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,No,No,No,Credit card (automatic),Yes,0,Yes,No,No,46,2688,1,0,0.00%,55.65,55.65,2688.85,58.45326087
